Huisarts & Pensioen,ISIN,Yahoo Finance,MSCI,Sector,Country,Rank,
Universal Music Group,NL0015000IY2,UMG.AS,UNIVERSAL MUSIC GROUP,Comm Srvcs,Netherlands,655,
Industria de Diseño Textil,ES0148396007,ITX.MC,INDITEX,Cons Discr,Spain,258,
Compass,GB00BD6K4575,CPG.L,COMPASS GROUP,Cons Discr,United Kingdom,282,
Shimano,JP3358000002,7309.T,SHIMANO,Cons Discr,Japan,947,
Topbuild,US89055F1030,BLD,TOPBUILD CORP,Cons Discr,United States,"1,008",
Unilever,GB00B10RZP78,ULVR.L,UNILEVER PLC (GB),Cons Staples,United Kingdom,74,
L'Oréal,FR0000120321,OR.PA,L'OREAL,Cons Staples,France,120,
Colgate-Palmolive,US1941621039,CL,COLGATE-PALMOLIVE,Cons Staples,United States,160,
Kenvue,US49177J1025,KVUE,KENVUE,Cons Staples,United States,362,
Visa,US92826C8394,V,VISA A,Financials,United States,17,
S&P Global,US78409V1044,SPGI,S&P GLOBAL,Financials,United States,70,
Marsh & McLennan,US5717481023,MMC,MARSH & MCLENNAN COS,Financials,United States,112,
HDFC Bank,INE040A01034,HDFCBANK.NS,HDFC BANK,Financials,India,161,
AIA,HK0000069689,1299.HK,AIA GROUP,Financials,Hong Kong,169,
AON,IE00BLP1HW54,AON,AON PLC A,Financials,United States,217,
London Stock Exchange Group,GB00B0SWJX34,LSEG.L,LONDON STOCK EXCHANGE,Financials,United Kingdom,228,
Bank Central Asia,ID1000109507,BBCA.JK,BANK CENTRAL ASIA,Financials,Indonesia,414,
Hong Kong Exchange,HK0388045442,0388.HK,HONGKONG EXCH & CLEARING,Financials,Hong Kong,415,
Partners Group,CH0024608827,PGHN.SW,PARTNERS GROUP HOLDING,Financials,Switzerland,452,
KBC,BE0003565737,KBC.BR,KBC GROUPE,Financials,Belgium,768,
Novo Nordisk,DK0062498333,NOVO-B.CO,NOVO NORDISK B,Health Care,Denmark,16,
