Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
OR.PA,344.5,2024/12/27,17:37 CET,4.649994,338.45,344.5,337.75,384340,,,,,,,,
CL,91.81,2024/12/27,16:00 EST,-0.560005,92.73,92.73,91.67,2544052,,,,,,,,
KVUE,21.53,2024/12/27,16:00 EST,-0.189999,21.59,21.805,21.53,5663600,,,,,,,,
V,318.66,2024/12/27,16:00 EST,-2.25,319.27,321.5,317.615,3485491,,,,,,,,
SPGI,501.8,2024/12/27,16:00 EST,-2.98001,501.91,506.56,499.4634,604027,,,,,,,,
MMC,213.47,2024/12/27,16:00 EST,-0.729996,213.41,214.83,212.6,620435,,,,,,,,
HDFCBANK.NS,1798.25,2024/12/27,15:30 IST,7.5,1794.8,1805.95,1789.1,3629299,,,,,,,,
1299.HK,56.3,2024/12/27,16:08 HKT,-0.40000153,56.4,57.05,56.2,14636707,,,,,,,,
AON,360.38,2024/12/27,16:00 EST,-1.07999,359.35,362.14,358.17,334157,,,,,,,,
LSEG.L,11330.0,2024/12/27,16:48 GMT,5.0,11285.0,11330.0,11210.0,280039,,,,,,,,
BBCA.JK,9800.0,2024/12/27,16:14 WIB,50.0,9800.0,9825.0,9725.0,24016700,,,,,,,,
0388.HK,297.2,2024/12/27,16:08 HKT,-4.0,301.4,301.8,295.8,3951796,,,,,,,,
PGHN.SW,1233.0,2024/12/27,17:30 CET,15.0,1221.0,1241.5,1218.0,26643,,,,,,,,
KBC.BR,74.22,2024/12/27,17:35 CET,0.80000305,73.3,74.22,73.3,244840,,,,,,,,
NOVO-B.CO,635.9,2024/12/27,16:59 CET,13.300049,630.2,645.6,626.4,3614376,,,,,,,,
TMO,526.07,2024/12/27,16:00 EST,-1.10999,524.0,528.2787,523.0,665967,,,,,,,,
DHR,231.1,2024/12/27,16:00 EST,0.0900116,229.4,232.14,229.79,2130006,,,,,,,,
BSX,90.66,2024/12/27,16:00 EST,-0.789993,90.9,91.5,90.23,2293746,,,,,,,,
CSL.AX,282.35,2024/12/27,16:10 AEDT,1.6000061,283.65,283.7,280.73,289051,,,,,,,,
ZTS,164.6,2024/12/27,16:00 EST,-0.919998,164.95,166.53,163.52,1800133,,,,,,,,
EL.PA,234.5,2024/12/27,17:35 CET,2.600006,230.7,234.5,230.4,364184,,,,,,,,
7741.T,20020.0,2024/12/27,15:45 JST,135.0,20000.0,20115.0,19855.0,598300,,,,,,,,
IQV,199.39,2024/12/27,16:00 EST,-0.860001,198.86,201.4298,198.25,503090,,,,,,,,
ARGX.BR,605.0,2024/12/27,17:35 CET,0.4000244,602.2,606.2,600.4,34333,,,,,,,,
MRK.DE,139.95,2024/12/27,17:35 CET,2.0999908,138.35,139.95,138.35,165533,,,,,,,,
LH,230.43,2024/12/27,16:00 EST,-0.630005,229.81,232.41,229.05,237484,,,,,,,,
COLO-B.CO,794.8,2024/12/27,16:59 CET,1.5999756,792.0,807.0,791.6,123227,,,,,,,,
SU.PA,241.05,2024/12/27,17:35 CET,1.25,237.9,241.05,237.9,426391,,,,,,,,
ABBN.SW,49.54,2024/12/27,17:30 CET,0.3500023,49.2,49.62,49.19,1420844,,,,,,,,
REL.L,3631.0,2024/12/27,17:02 GMT,14.0,3633.0,3637.0,3604.0,1232420,,,,,,,,
TT,373.53,2024/12/27,16:00 EST,-4.51001,375.36,377.3277,370.72,509517,,,,,,,,
ATCO-A.ST,170.0,2024/12/27,17:29 CET,1.3500061,169.2,170.75,168.6,2775263,,,,,,,,
EXPN.L,3464.0,2024/12/27,17:01 GMT,0.0,3453.0,3474.9934,3443.0,641367,,,,,,,,
WKL.AS,161.0,2024/12/27,17:35 CET,1.5,159.25,161.15,159.0,343316,,,,,,,,
ASSA-B.ST,327.4,2024/12/27,17:29 CET,0.6999817,327.5,328.8,325.0,1026856,,,,,,,,
ROK,290.5,2024/12/27,16:00 EST,-3.38,291.92,294.4099,289.055,382253,,,,,,,,
AHT.L,4942.0,2024/12/27,17:02 GMT,-6.0,4922.0,4950.0,4905.0,492244,,,,,,,,
LR.PA,94.04,2024/12/27,17:35 CET,0.20000458,93.6,94.24,93.52,211353,,,,,,,,
VACN.SW,345.3,2024/12/27,17:30 CET,1.0999756,346.0,348.5,342.6,43923,,,,,,,,
CPU.AX,34.26,2024/12/27,16:10 AEDT,0.4299965,34.13,34.27,33.96,493440,,,,,,,,
MSFT,430.53,2024/12/27,16:00 EST,-7.5799866,434.91,435.22,426.35,18065824,,,,,,,,
NVDA,137.01,2024/12/27,16:00 EST,-2.9199982,138.555,139.02,134.71,169431279,,,,,,,,
TSM,201.63,2024/12/27,16:00 EST,-1.42999,204.5,204.07,199.05,10390171,,,,,,,,
ASML.AS,684.9,2024/12/27,17:39 CET,-3.5999756,681.1,695.6,680.0,532648,,,,,,,,
ADBE,446.48,2024/12/27,16:00 EST,-3.6799927,447.305,449.91,441.105,2942580,,,,,,,,
SAP.DE,239.5,2024/12/27,17:43 CET,3.149994,241.4,241.4,237.95,1478656,,,,,,,,
ACN,356.18,2024/12/27,16:00 EST,-4.25,358.78,360.336,354.0,827442,,,,,,,,
INTU,638.57,2024/12/27,16:00 EST,-7.619995,643.24,643.24,631.18,942913,,,,,,,,
AMAT,166.83,2024/12/27,16:00 EST,-0.7200012,166.01,167.2,164.63,3520993,,,,,,,,
6861.T,64560.0,2024/12/27,15:45 JST,740.0,64150.0,64570.0,63910.0,457800,,,,,,,,
CDNS,305.03,2024/12/27,16:00 EST,-3.6600037,303.67,306.4,300.95,973499,,,,,,,,
ADSK,297.59,2024/12/27,16:00 EST,-2.6900024,298.64,298.83,294.57,927196,,,,,,,,
IFX.DE,31.82,2024/12/27,17:35 CET,0.27999878,31.41,31.89,31.295,2062009,,,,,,,,
PTC,184.5,2024/12/27,16:00 EST,-1.4100037,185.03,186.185,182.54,388260,,,,,,,,
HEXA-B.ST,106.1,2024/12/27,17:29 CET,0.40000153,106.3,106.75,105.65,2391489,,,,,,,,
HLMA.L,2722.0,2024/12/27,16:35 GMT,-8.0,2720.0,2754.0,2690.0,232283,,,,,,,,
SIKA.SW,216.6,2024/12/27,17:30 CET,1.1000061,215.6,217.1,214.5,289058,,,,,,,,
AVY,188.51,2024/12/27,16:00 EST,-0.840012,188.03,190.27,187.84,572984,,,,,,,,
PLD,105.24,2024/12/27,16:00 EST,-1.65,106.16,107.23,104.8137,3655069,,,,,,,,
UMG.AS,24.7,2024/12/27,17:35 CET,0.1400013,24.58,24.81,24.56,825201,,,,,,,,
ITX.MC,49.83,2024/12/27,17:41 CET,0.3200035,49.65,49.92,49.34,896492,,,,,,,,
CPG.L,2655.0,2024/12/27,16:35 GMT,10.0,2638.0,2658.0,2633.0,1229336,,,,,,,,
7309.T,21520.0,2024/12/27,15:45 JST,175.0,21425.0,21550.0,21345.0,159400,,,,,,,,
BLD,310.67,2024/12/27,16:00 EST,-3.12997,310.0,313.555,307.185,219813,,,,,,,,
ULVR.L,4577.0,2024/12/27,16:56 GMT,14.0,4568.0,4582.0,4538.0,1208777,,,,,,,,
